DAY_MT	ET_mm/day
1/20/18	
1/21/18	
1/22/18	
1/23/18	
1/24/18	
1/25/18	
1/26/18	
1/27/18	
1/28/18	
1/29/18	
1/30/18	
1/31/18	
2/1/18	
2/2/18	
2/3/18	
2/4/18	
2/5/18	
2/6/18	
2/7/18	
2/8/18	
2/9/18	
2/10/18	
2/11/18	
2/12/18	
2/13/18	
2/14/18	
2/15/18	
2/16/18	
2/17/18	
2/18/18	0.485463273
2/19/18	0.476981083
2/20/18	0.12663429
2/21/18	0.062843436
2/22/18	0.068876511
2/23/18	0.115384512
2/24/18	0.138926913
2/25/18	0.027538322
2/26/18	0.10930193
2/27/18	0.218195562
2/28/18	0.266841342
3/1/18	0.181182764
3/2/18	0.263776747
3/3/18	0.26984972
3/4/18	0.463426242
3/5/18	0.203705932
3/6/18	0.183837539
3/7/18	0.219050591
3/8/18	0.400747022
3/9/18	0.511371195
3/10/18	0.634401553
3/11/18	0.258377674
3/12/18	0.376466612
3/13/18	0.282121096
3/14/18	0.214500887
3/15/18	0.165983109
3/16/18	0.302111498
3/17/18	0.318454948
3/18/18	0.321163048
3/19/18	0.251089782
3/20/18	0.342167706
3/21/18	0.201282182
3/22/18	0.050972227
3/23/18	0.348745681
3/24/18	0.245396835
3/25/18	0.544535459
3/26/18	0.701241546
3/27/18	0.448757058
3/28/18	0.475873176
3/29/18	0.433370557
3/30/18	0.442190541
3/31/18	0.75558901
4/1/18	0.917712528
4/2/18	1.134455832
4/3/18	0.389187504
4/4/18	0.843309203
4/5/18	0.521217444
4/6/18	0.000546181
4/7/18	0.176415873
4/8/18	1.267610951
4/9/18	1.000422997
4/10/18	0.80524147
4/11/18	1.00067397
4/12/18	1.182112938
4/13/18	1.658189812
4/14/18	1.679432017
4/15/18	1.053377048
4/16/18	0.892386488
4/17/18	1.253993932
4/18/18	1.167415916
4/19/18	1.384060404
4/20/18	0.625911022
4/21/18	1.036580066
4/22/18	1.671435539
4/23/18	1.458320368
4/24/18	1.53673965
4/25/18	1.566927856
4/26/18	1.658091522
4/27/18	1.592627098
4/28/18	1.055918413
4/29/18	1.264777982
4/30/18	1.732143432
5/1/18	0.919256608
5/2/18	0.764284384
5/3/18	1.061727863
5/4/18	1.783537479
5/5/18	1.820501707
5/6/18	1.647504394
5/7/18	1.384357848
5/8/18	2.036505617
5/9/18	1.62300649
5/10/18	2.109155469
5/11/18	1.560144836
5/12/18	1.70275389
5/13/18	1.932083271
5/14/18	2.158256169
5/15/18	2.199334832
5/16/18	2.2164881
5/17/18	2.564867051
5/18/18	2.118680944
5/19/18	1.859141142
5/20/18	1.19150884
5/21/18	1.674719805
5/22/18	1.509088981
5/23/18	2.084201204
5/24/18	2.895916111
5/25/18	2.697021737
5/26/18	2.080286913
5/27/18	2.940531362
5/28/18	1.905404886
5/29/18	1.967168057
5/30/18	1.785207415
5/31/18	2.766010242
6/1/18	3.831182698
6/2/18	3.531895492
6/3/18	1.650732511
6/4/18	3.403247876
6/5/18	3.402236321
6/6/18	2.860162605
6/7/18	4.056142572
6/8/18	4.020191959
6/9/18	4.046311701
6/10/18	4.739751344
6/11/18	4.294955693
6/12/18	3.890772903
6/13/18	4.558800192
6/14/18	3.579730613
6/15/18	3.4672595
6/16/18	1.466282695
6/17/18	2.808673242
6/18/18	3.432954841
6/19/18	4.434335977
6/20/18	4.251832487
6/21/18	4.475070779
6/22/18	4.047865143
6/23/18	4.478676238
6/24/18	4.625630478
6/25/18	4.469202188
6/26/18	4.715478351
6/27/18	4.567787882
6/28/18	4.580124466
6/29/18	4.605803012
6/30/18	4.818582694
7/1/18	4.558828961
7/2/18	4.614354036
7/3/18	3.234205117
7/4/18	3.862764907
7/5/18	2.672245892
7/6/18	3.849901306
7/7/18	2.728742271
7/8/18	3.16637519
7/9/18	4.500099678
7/10/18	3.513334145
7/11/18	3.33407048
7/12/18	2.682981535
7/13/18	3.78424411
7/14/18	4.711857428
7/15/18	1.95299182
7/16/18	3.190947667
7/17/18	4.307273926
7/18/18	5.122002096
7/19/18	4.809916074
7/20/18	2.945711072
7/21/18	3.946958084
7/22/18	5.27977756
7/23/18	4.291490507
7/24/18	4.62525592
7/25/18	4.127000892
7/26/18	4.133100211
7/27/18	3.691204892
7/28/18	2.949784874
7/29/18	3.101467047
7/30/18	4.72469265
7/31/18	3.916423061
8/1/18	3.080799718
8/2/18	3.428084105
8/3/18	0.202386623
8/4/18	
8/5/18	
8/6/18	
8/7/18	
8/8/18	
8/9/18	
8/10/18	
8/11/18	
8/12/18	
8/13/18	
8/14/18	
8/15/18	
8/16/18	
8/17/18	
8/18/18	
8/19/18	
8/20/18	
8/21/18	
8/22/18	
8/23/18	
8/24/18	0.232563045
8/25/18	2.023602477
8/26/18	2.677987165
8/27/18	2.651152012
8/28/18	3.196439748
8/29/18	2.81264696
8/30/18	2.607483135
8/31/18	1.704021708
9/1/18	2.104047378
9/2/18	1.831043838
9/3/18	1.140646093
9/4/18	1.095864398
9/5/18	1.284286844
9/6/18	1.758039709
9/7/18	1.804519258
9/8/18	1.576417625
9/9/18	1.73612586
9/10/18	1.44847021
9/11/18	1.262635308
9/12/18	1.640544726
9/13/18	1.189425538
9/14/18	1.155748528
9/15/18	1.157228165
9/16/18	1.039629443
9/17/18	0.818116795
9/18/18	1.041856414
9/19/18	0.779018643
9/20/18	1.689717403
9/21/18	1.153203624
9/22/18	1.129546396
9/23/18	0.988926006
9/24/18	0.764029857
9/25/18	0.953057497
9/26/18	0.889220246
9/27/18	0.810107947
9/28/18	0.856716242
9/29/18	0.772453362
9/30/18	0.72024001
10/1/18	0.291710488
10/2/18	-0.001078208
10/3/18	1.00534104
10/4/18	1.293315868
10/5/18	0.798893167
10/6/18	0.851264591
10/7/18	1.133533359
10/8/18	0.485700925
10/9/18	0.664627989
10/10/18	0.471072734
10/11/18	0.098951674
10/12/18	0.225253994
10/13/18	0.462572661
10/14/18	0.84616246
10/15/18	0.334032268
10/16/18	0.356535319
10/17/18	0.472177417
10/18/18	0.538868755
10/19/18	0.766792234
10/20/18	0.691888701
10/21/18	0.665864966
10/22/18	0.557099924
10/23/18	1.143622896
10/24/18	1.143977259
10/25/18	0.606602023
10/26/18	0.64250003
10/27/18	0.59884819
10/28/18	0.590290476
10/29/18	0.704975005
10/30/18	0.14488433
10/31/18	0.769740499
11/1/18	0.978488511
11/2/18	0.819025131
11/3/18	0.74714462
11/4/18	0.311818574
11/5/18	0.602165904
11/6/18	0.682568113
11/7/18	0.351392095
11/8/18	0.419698534
11/9/18	0.254600816
11/10/18	0.238482531
11/11/18	0.393943664
11/12/18	0.00957213
11/13/18	0.197182261
11/14/18	0.235060869
11/15/18	0.371803481
11/16/18	0.296404278
11/17/18	0.44972973
11/18/18	0.476003557
11/19/18	0.350996049
11/20/18	0.325010748
11/21/18	0.271368802
11/22/18	0.238774168
11/23/18	0.388816519
11/24/18	0.210909794
11/25/18	0.055972144
11/26/18	0.028544244
11/27/18	0.087244798
11/28/18	0.052043165
11/29/18	-0.004165511
11/30/18	0.153330419
12/1/18	0.096003659
12/2/18	0.060059272
12/3/18	0.007124456
12/4/18	
12/5/18	0.048120493
12/6/18	
12/7/18	
12/8/18	
12/9/18	0.107152501
12/10/18	0.024105455
12/11/18	-0.01153008
12/12/18	0.107979205
12/13/18	0.01654395
12/14/18	0.013389629
12/15/18	0.029949158
12/16/18	0.015772094
12/17/18	0.129367713
12/18/18	0.082272172
12/19/18	0.449150686
12/20/18	0.030088646
12/21/18	0.127304153
12/22/18	0.214069945
12/23/18	0.010787918
12/24/18	-0.006276364
12/25/18	0.060140156
12/26/18	-0.032770017
12/27/18	0.012150975
12/28/18	0.015439754
12/29/18	
12/30/18	0.007754717
12/31/18	0.059524145
1/1/19	-0.000260598
1/2/19	
1/3/19	
1/4/19	
1/5/19	
1/6/19	
1/7/19	
1/8/19	
1/9/19	
1/10/19	
1/11/19	
1/12/19	
1/13/19	
1/14/19	
1/15/19	
1/16/19	
1/17/19	
1/18/19	
1/19/19	
1/20/19	
1/21/19	
1/22/19	
1/23/19	
1/24/19	
1/25/19	
1/26/19	
1/27/19	
1/28/19	
1/29/19	
1/30/19	
1/31/19	
2/1/19	
2/2/19	
2/3/19	
2/4/19	
2/5/19	
2/6/19	
2/7/19	
2/8/19	
2/9/19	0.085051958
2/10/19	0.054289595
2/11/19	0.0980121
2/12/19	0.021449432
2/13/19	0.080445285
2/14/19	0.021691074
2/15/19	0.181248159
2/16/19	0.175375998
2/17/19	0.017316566
2/18/19	0.100477223
2/19/19	0.008040163
2/20/19	0.00504976
2/21/19	0.159294748
2/22/19	0.049265366
2/23/19	0.101912135
2/24/19	0.016765088
2/25/19	0.033629738
2/26/19	0.028924982
2/27/19	0.134240116
2/28/19	0.097661805
3/1/19	0.184377365
3/2/19	0.047885403
3/3/19	0.11840829
3/4/19	0.227312326
3/5/19	0.077169753
3/6/19	0.00029472
3/7/19	0.499413479
3/8/19	0.149908484
3/9/19	0.229142473
3/10/19	0.062432899
3/11/19	0.065126484
3/12/19	0.034998422
3/13/19	0.343620208
3/14/19	0.443210181
3/15/19	0.063210336
3/16/19	0.068209193
3/17/19	0.069726527
3/18/19	0.141243692
3/19/19	0.218139633
3/20/19	0.006010658
3/21/19	0.067524251
3/22/19	0.254598137
3/23/19	0.490894373
3/24/19	0.164563444
3/25/19	0.284006557
3/26/19	0.126508033
3/27/19	0.069311957
3/28/19	0.45262998
3/29/19	0.323281186
3/30/19	0.131381268
3/31/19	0.141514981
4/1/19	0.281306357
4/2/19	0.113360735
4/3/19	0.078376364
4/4/19	0.089549721
4/5/19	0.16882027
4/6/19	0.113978106
4/7/19	0.14615621
4/8/19	0.261636219
4/9/19	0.670022339
4/10/19	0.319755511
4/11/19	0.586034804
4/12/19	0.219617763
4/13/19	0.089468686
4/14/19	0.498693738
4/15/19	0.431100775
4/16/19	0.341367976
4/17/19	0.420227964
4/18/19	0.675811608
4/19/19	0.119896749
4/20/19	0.29068221
4/21/19	0.106684694
4/22/19	0.294131052
4/23/19	0.047087037
4/24/19	0.149447969
4/25/19	0.339012929
4/26/19	0.010730881
4/27/19	0.639886133
4/28/19	1.730048738
4/29/19	1.541545886
4/30/19	0.418439479
5/1/19	0.167918237
5/2/19	0.353130817
5/3/19	0.484996087
5/4/19	0.569301843
5/5/19	0.595635394
5/6/19	0.499283023
5/7/19	0.638090292
5/8/19	0.291757789
5/9/19	0.216995664
5/10/19	0.809273225
5/11/19	1.008797357
5/12/19	1.050850945
5/13/19	1.174371496
5/14/19	1.085292606
5/15/19	1.037185604
5/16/19	1.289910984
5/17/19	0.9031577
5/18/19	1.43084503
5/19/19	1.072166291
5/20/19	0.476782951
5/21/19	1.46704659
5/22/19	1.296689846
5/23/19	1.107719358
5/24/19	2.027049721
5/25/19	1.714522508
5/26/19	1.400219589
5/27/19	1.06887914
5/28/19	1.630271125
5/29/19	1.076363472
5/30/19	1.630711232
5/31/19	1.733934406
6/1/19	1.872842721
6/2/19	1.688987737
6/3/19	1.709060604
6/4/19	1.144871402
6/5/19	2.09832962
6/6/19	2.251236746
6/7/19	2.228319101
6/8/19	2.374886904
6/9/19	2.397868164
6/10/19	2.823676197
6/11/19	3.099710271
6/12/19	2.843761857
6/13/19	3.24319847
6/14/19	2.430159271
6/15/19	2.125675253
6/16/19	2.299875607
6/17/19	1.992771439
6/18/19	2.825570339
6/19/19	2.518931574
6/20/19	0.031269822
6/21/19	
6/22/19	0.957675491
6/23/19	2.269607668
6/24/19	3.152899788
6/25/19	2.881305682
6/26/19	3.484303534
6/27/19	3.061769527
6/28/19	3.702241754
6/29/19	3.180456434
6/30/19	2.040287565
7/1/19	2.867900591
7/2/19	3.635472562
7/3/19	3.794434579
7/4/19	3.659831654
7/5/19	3.979709351
7/6/19	2.849810176
7/7/19	2.608200906
7/8/19	2.687924661
7/9/19	3.93891902
7/10/19	3.754947524
7/11/19	4.426257173
7/12/19	3.068346197
7/13/19	2.907983551
7/14/19	3.53506081
7/15/19	3.471830927
7/16/19	3.716280391
7/17/19	4.635744761
7/18/19	3.992325744
7/19/19	4.500065919
7/20/19	2.615306667
7/21/19	4.168661163
7/22/19	3.319515763
7/23/19	3.394809859
7/24/19	3.4755466
7/25/19	3.284793408
7/26/19	2.589853345
7/27/19	2.885519709
7/28/19	4.848484649
7/29/19	3.608092723
7/30/19	2.740659396
7/31/19	2.336999988
8/1/19	1.563179582
8/2/19	3.69097322
8/3/19	3.124861423
8/4/19	1.747233869
8/5/19	3.575880045
8/6/19	3.49979245
8/7/19	2.30253255
8/8/19	2.823094096
8/9/19	4.159778733
8/10/19	2.477987345
8/11/19	2.536936834
8/12/19	4.65240591
8/13/19	3.958702569
8/14/19	4.095389103
8/15/19	4.318504247
8/16/19	3.953687876
8/17/19	3.988669695
8/18/19	3.737202095
8/19/19	3.686371509
8/20/19	4.057411417
8/21/19	3.488735545
8/22/19	2.637566716
8/23/19	2.5593109
8/24/19	3.892012191
8/25/19	3.861033825
8/26/19	4.055598018
8/27/19	3.734738885
8/28/19	3.373975537
8/29/19	2.291566158
8/30/19	2.719867208
8/31/19	2.446827903
9/1/19	3.112739109
9/2/19	3.529599469
9/3/19	2.691856519
9/4/19	2.764863025
9/5/19	2.236045057
9/6/19	1.861396381
9/7/19	2.843507554
9/8/19	1.103135937
9/9/19	2.821630692
9/10/19	2.10894683
9/11/19	2.00849192
9/12/19	2.379734759
9/13/19	2.173352018
9/14/19	1.984669538
9/15/19	1.455171467
9/16/19	1.707495091
9/17/19	1.327666922
9/18/19	1.727999308
9/19/19	1.167068037
9/20/19	1.857570407
9/21/19	1.634882234
9/22/19	1.548739192
9/23/19	0.802541048
9/24/19	1.417023411
9/25/19	1.151097099
9/26/19	1.3129965
9/27/19	0.427206949
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
